,Unnamed: 0,Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,latitude,longitude,Vectors,kmeans
17,17,10/20/1917,07:45,"Near Luneville, France",Military - German Navy,,,Zeppelin L-44 (airship),,,18.0,18.0,0.0,Shot down by French anti-aircraft fire.,48.72211675029007,6.882117743521642,"[-0.26822343  0.06401366  0.31589285 -1.13671726 -0.94593579 -2.34282488
  1.52209896  2.36747187 -0.41553239  0.1885282   3.27404511  1.87217295
  0.42183977 -0.52417967 -1.97886974]",0
19,19,05/10/1918,,"Off Helgoland Island, Germany",Military - German Navy,,,Zeppelin L-70 (airship),,,22.0,22.0,0.0,"Shot down by British aircraft crashing from a height of 17,000 ft.",54.54250210412417,8.122226546027395,"[-1.40859712 -0.13642931  2.20751539 -2.38550955 -0.4984848  -3.19187748
  2.75734088  2.60547006 -0.4241223   1.11370842  4.72104359  2.36435959
  1.35206167 -0.89887571 -2.76923192]",0
22,22,05/25/1919,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,61,,1.0,1.0,0.0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,41.4996574,-81.6936772,"[-2.12352075 -0.07964796  2.35254433 -3.748951   -2.43932933 -6.33099392
  6.67080902  6.73848208 -0.67772393  0.12420325  8.67571336  6.23946708
  0.96428645 -1.16081944 -5.06255075]",3
40,40,10/05/1920,,"Valencia, Spain",Latecoere Airlines,,,Breguet 14,F-ALTA,20,2.0,2.0,0.0,Crashed while landing.,39.4697065,-0.3763353,"[-0.38630343 -0.4730738   0.70187891 -0.47190901 -0.7820237  -1.17297924
  1.8493669   1.8549608  -0.27576162 -0.05506677  1.95731193  1.67454284
  0.28233718  0.10311434 -1.0090228 ]",0
43,43,12/14/1920,,"Cricklewood, England",Handley Page Transport,,,Handley Page HP-16,G-EAMA,HP-25,8.0,4.0,0.0,Crashed into a tree on take off in fog.,51.5566986,-0.2157507,"[-1.61855268 -0.60188989  2.57809395 -1.61006448 -0.66226158 -2.02517483
  3.12924975  2.19885579 -0.29386314  0.8241905   3.81030947  1.78266285
  1.34154437  0.70044839 -1.8970255 ]",0
55,55,08/24/1921,17:40,"River Humber, England",Military - Royal Airship Works,,,Royal Airship Works ZR-2 (airship),R-38,R-38,46.0,46.0,1.0,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,53.7124015,-0.3652257,"[-0.43189368  0.31589341  0.9965647  -1.77674404 -1.21233037 -3.55764624
  1.69097129  3.68426606 -0.76509714  0.80223458  5.70537138  3.02761015
  0.71590732 -1.04495224 -3.50562313]",0
56,56,09/06/1921,,"Paris, France",Franco-Roumaine,,Varsovie - Strasbourg - Paris,Potez IX,F-ADCD,160,5.0,5.0,0.0,Crashed while making an approach to Le Bourget Airport in Paris.,48.8534951,2.3483915,"[-1.34759565 -0.56320333  2.88541013 -1.59557262 -0.252309   -1.97192773
  2.60908425  2.22432166  0.02065     0.99049991  3.70614374  2.04619375
  1.63836429  0.42377615 -1.85660416]",0
58,58,01/14/1922,,"Paris, France",Handley Page Transport,,,Handley Page O/10,G-EATN,HP-43,5.0,5.0,5.0,Crashed at Le Bourget field.,48.8534951,2.3483915,"[-0.63058358 -0.28052985  0.59671187 -0.72666627 -0.67685445 -1.4722029
  1.90276313  1.45965117 -0.23442177 -0.13123756  1.82146329  1.17340094
  0.43151388  0.45461366 -0.92636803]",0
59,59,02/21/1922,,"Near Norfolk, Virginia",Military - U.S. Army Air Service,,,Dirigible Roma (airship),,,45.0,34.0,0.0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,37.17478152921133,-75.87706776393954,"[-1.66839842 -0.14596126  2.26375571 -2.65801269 -1.08256572 -4.48615402
  2.20268086  3.36907937 -1.08608498  1.54276282  7.57658005  3.58696291
  0.75521847 -2.20462986 -5.05785581]",0
60,60,04/07/1922,,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,,,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7.0,7.0,0.0,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",49.6647765,1.9428278,"[-3.6232103   1.30393156  6.43904315 -5.89114892  1.07974447 -8.1786746
  6.19317123  5.97113865  0.42627277  7.07713568 10.68670791  3.63493434
  5.35981835 -1.95395645 -7.31723136]",3
88,88,12/24/1924,,"Purley, England",Imperial Airways,,,de Havilland DH-34B,G-EBBX,36,8.0,8.0,0.0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.",51.3388112,-0.1158589,"[-2.10619183  0.16057752  2.98054569 -4.55139191 -3.05119123 -7.99233606
  7.08737336  8.68951806 -1.11778569  1.06244678 12.22082347  7.90441775
  1.47997819 -2.70274884 -7.19521526]",3
92,92,06/25/1925,,"Landrécies, France",KLM Royal Dutch Airlines,,,Fokker (KLM)  F.III,H-NABM,KLM-2,4.0,4.0,0.0,Crashed in poor weather.,50.1250142,3.6913023,"[-2.04768401 -0.36149236  4.43431562 -1.65789747  1.3993682  -1.10721684
  1.83751162 -0.13149804  0.34521878  1.90615536  2.57019699  0.06875461
  1.55950126  0.50416781 -1.94018921]",0
96,96,09/03/1925,05:30,"Caldwell, Ohio",Military - U.S. Navy,,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,,43.0,14.0,0.0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.",39.7478508,-81.5165127,"[ -4.42913524   1.11600166   7.67319662  -7.47835936  -1.59046807
 -11.6841751    5.80746699   9.58343023  -1.45209952   6.3640245
  19.60982835   8.86475149   4.08760114  -5.87241326 -13.18494591]",4
104,104,07/24/1926,,"Juist, Germany",Deutsche Lufthansa,,,Junkers F-13,D-272,660,4.0,4.0,0.0,Weather related.,53.6784483,6.9956079,"[-0.95662963 -0.02411567  2.33608365 -0.80743152  1.16609192 -0.17381828
  0.07426824 -0.6408608   0.29168177  1.06549871  0.87378633 -0.34340382
  0.828251   -0.14161763 -0.89746904]",0
105,105,08/18/1926,,"Hurst, Kent, England",Air Union,,,Bleriot 155,F-AIEB,2,4.0,4.0,0.0,Crashed in adverse weather conditions.  Engine failure.,51.24725825,0.930633859349936,"[-2.75497902 -0.17805017  7.72877482 -2.79253057  2.55571922 -2.6514785
  1.07177574  0.24153286  0.29473244  3.9547243   6.61490625  0.81301796
  2.36060347 -1.78948498 -4.96647558]",0
106,106,09/26/1926,,"New York, New York",,,New York - Paris,Sikorsky S-25,,,5.0,2.0,0.0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.,40.7127281,-74.0060152,"[-1.39128902 -0.53377542  2.77306313 -2.56431351 -1.39644117 -4.15100768
  3.24506101  4.39446595 -0.62403349  1.32733516  7.20001668  4.48697058
  0.90843001 -1.6804997  -4.95805156]",0
107,107,10/08/1926,,"Bueren, Germany",Deutsche Lufthansa,,,Fokker FG III,D-468,1554,4.0,4.0,0.0,Weather related.,51.5497446,8.573474968213432,"[-0.95662963 -0.02411567  2.33608365 -0.80743152  1.16609192 -0.17381828
  0.07426824 -0.6408608   0.29168177  1.06549871  0.87378633 -0.34340382
  0.828251   -0.14161763 -0.89746904]",0
108,108,10/21/1926,13:15,English Channel,Imperial Airways,,,Handley Page W-10,G-EBMS,W10/3,12.0,0.0,0.0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",50.4924668,1.054682,"[ -4.05258063  -0.01939073   4.96835008  -7.68589228  -3.34842583
 -10.95890263   9.37554745   9.536058    -1.82869941   1.75793295
  15.36417681   8.93249564   2.41104199  -2.98154347  -9.30743688]",3
113,113,03/24/1927,,"Tambo, Qld, Australia",Qantas,,,de Havilland DH-9C,G-AUED,86,3.0,3.0,0.0,Stalled at low altitiude on approach to land,-24.9071275,146.33124025447535,"[-1.7236042  -0.66839134  3.6523665  -1.5185968   0.28372201 -1.31793737
  1.63623199  1.57470862 -0.03592144  1.91659689  3.89828122  1.61533427
  1.89826559 -0.24674313 -2.08279312]",0
114,114,04/15/1927,,"King Hill, Idaho",Varney Air Lines,,,,,,1.0,1.0,0.0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.,44.5204431,-116.3345874,"[-1.5883899  -0.26202413  1.96569092 -2.58395031 -1.74149095 -3.97016779
  4.25966725  4.2522199  -0.42145152  0.11465538  5.83438027  3.95727296
  0.64169324 -0.34808704 -3.17706877]",0
116,116,04/22/1927,,"Floh, Germany",Deutsche Lufthansa,,,Fokker FG III,D-729,1567,2.0,2.0,0.0,Engine failure.,50.77089045,10.496178825357095,"[ 2.64878087e-01  2.03009441e-01  2.79912353e-03 -5.76796889e-01
 -7.21003719e-01 -1.22879568e+00 -2.42683321e-01  1.61082298e+00
 -5.26622146e-01  8.16516578e-02  2.83952224e+00  1.59159544e+00
 -1.66150942e-01 -1.38256305e+00 -1.61412299e+00]",0
118,118,07/27/1927,,"Amoneburg, Germany",Deutsche Lufthansa,,,Junkers F-13,D-206,591,5.0,5.0,0.0,Engine failure.,50.79946485,8.941291794880504,"[ 2.64878087e-01  2.03009441e-01  2.79912353e-03 -5.76796889e-01
 -7.21003719e-01 -1.22879568e+00 -2.42683321e-01  1.61082298e+00
 -5.26622146e-01  8.16516578e-02  2.83952224e+00  1.59159544e+00
 -1.66150942e-01 -1.38256305e+00 -1.61412299e+00]",0
119,119,08/22/1927,08:30,"Sevenoaks, England",KLM Royal Dutch Airlines,,Croydon - Schiphol,Fokker F-VIII,,4993,11.0,1.0,0.0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",51.27452185,0.1961165562194977,"[-1.57430369  0.23000618  3.498825   -3.49524548 -1.39674297 -5.15189379
  1.25142278  4.76892248 -1.26322181  3.06427886  9.75208342  4.65910498
  1.75083035 -3.61117914 -7.33371958]",0
121,121,09/17/1927,,"Hadley, New Jersey",Reynolds Airways,,Sightseeing,Fokker F-VII,NC776,4840,12.0,7.0,0.0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.,40.8719153,-74.1398801,"[-2.55654218  0.07405204  2.90856959 -5.24812964 -3.41498122 -7.83784717
  6.20290913  8.26780137 -1.81053287  0.35203881 12.68966955  8.02057457
  1.05811947 -3.03351337 -6.92126629]",3
122,122,09/22/1927,,"Saale, Germany",Deutsche Lufthansa,,,BFW M-18,D-1177,30,4.0,2.0,0.0,Engine failure.,50.3555274,11.866784575146111,"[ 2.64878087e-01  2.03009441e-01  2.79912353e-03 -5.76796889e-01
 -7.21003719e-01 -1.22879568e+00 -2.42683321e-01  1.61082298e+00
 -5.26622146e-01  8.16516578e-02  2.83952224e+00  1.59159544e+00
 -1.66150942e-01 -1.38256305e+00 -1.61412299e+00]",0
123,123,09/23/1927,10:00,"Schleiz, Germany",Deutsche Lufthansa,,Berlin - Munich,Dornier Merkur,D-585,,6.0,6.0,0.0,Broken wing strut.,50.5590505,11.8040013,"[-0.07150597  0.23112325 -0.37913385 -0.50070733 -0.69690901 -0.74218631
  0.30812007  1.06462884 -0.47087249 -0.11915977  1.17757618  0.78444755
 -0.05231592 -0.30618432 -0.82338464]",0
125,125,10/30/1927,,"New Brunswick, New Jersey",Colonial Air Transport,,,Fairchild FC-2,,,4.0,4.0,0.0,Went into a tailspin and crashed into a corn field,40.4862174,-74.4518173,"[-0.97413501 -0.33257736  0.85561022 -1.36803317 -0.92957227 -2.12811702
  2.56385744  1.9684698  -0.32430793 -0.09702371  2.73021668  1.70953399
  0.56702083  0.29760118 -1.58834472]",0
132,132,01/08/1928,,"Near Canajoharie, New York",Colonial Western Airlines,,Minola - Albany - Buffalo,Fairchild FC-2,,39,3.0,3.0,0.0,Became lost in dense fog and flew into the ground in the Mohawk Valley while proceeding to Buffalo..,43.33140498532692,-74.2971476170103,"[-1.97682093 -0.09026868  3.29263987 -2.48615351 -0.06452145 -2.78366539
  2.76837301  2.32239634 -0.28777586  1.19553924  4.50865269  1.98554665
  1.57909268 -0.25581078 -2.66408861]",0
137,137,02/26/1928,,"Marquette, Nebraska",Boeing Air Transport,,,Boeing 40,NC280,,2.0,1.0,0.0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.,41.0070132,-98.0114268,"[ -4.95042297  -0.17324027   7.93355804  -7.42774048  -2.5710384
 -10.70333046  10.6091984    9.03397987  -0.93220847   3.80968062
  16.06139708   8.68413359   4.55703538  -2.45939103  -9.44372794]",3
141,141,04/19/1928,,"Minuesa, Spain",Iberia Airlines,,,Rohrbach Roland,M-CCCC,,9.0,9.0,0.0,Crashed in fog.,39.6903253,-4.4273603,"[-0.89400929 -0.39607998  1.41616219 -0.8976675  -0.26983231 -1.12355953
  1.89924538  1.14654121 -0.0412103   0.31162463  1.71385622  0.76611169
  0.8792592   0.81703749 -0.85714149]",0
144,144,05/26/1928,,"Radevormwald, Germany",Deutsche Lufthansa,,,Junkers F-13,D-583,742,5.0,3.0,0.0,Pilot error.,51.2029228,7.3571392,"[-0.61585832 -0.10734867  2.17572534 -0.81162503  0.47618626 -0.72687647
  0.33746296  0.37351116  0.07542177  1.19386005  1.98045248  0.68329673
  0.73349994 -0.62328286 -1.12400836]",0
146,146,06/22/1928,,"Lebo, Kansas",National Air Transport,,Chicago - Dallas,Douglas M-4,,,1.0,1.0,0.0,The mail plane flew into tornado like winds and crashed to the ground.,38.4166818,-95.8530441,"[-2.31490937 -0.22275506  2.59389893 -2.76406068 -0.91897825 -3.31804094
  4.11728871  3.1009776  -0.25789015  0.41705453  4.41727495  2.59424846
  1.49277475  0.66423913 -2.29725891]",0
148,148,07/13/1928,,"Purley, England",Imperial Airways,,Testing,Vickers 74 Vulcan,G-EBLB,9,4.0,4.0,0.0,Crashed to the ground shortly after taking off killing two men and two women.,51.3388112,-0.1158589,"[-1.21117888  0.48782921  0.9876027  -2.6009475  -1.92690291 -4.69905841
  4.74572456  4.75890648 -0.54216713  0.3941101   5.96459526  3.2735509
  0.86529243  0.06304803 -3.03116745]",0
152,152,09/04/1928,,"Adelaide Hills, Australia",Qantas,,,de Havilland DH.50J,G-AUHI,,2.0,1.0,0.0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft crashed and caught fire.",-34.90135105,138.82932020091445,"[-2.55518927  0.35375565  4.0842612  -5.2114902  -2.78526572 -8.16972226
  6.12324035  8.19946265 -1.35272529  1.90964289 12.87052679  6.86032948
  2.05186961 -2.08812338 -8.33192396]",3
156,156,10/18/1928,,"Polk, Pennsylvania",National Air Transport,,,Douglas M-4,,,1.0,1.0,0.0,The mail plane crashed and burned during the night.,41.3670014,-79.9292233,"[-1.46185762 -0.57295021  2.0803002  -2.05398092 -0.75880203 -2.59748337
  3.31660548  2.18471129 -0.19340687  0.32089061  3.67127079  1.95124689
  0.91214088  0.39408428 -2.0839434 ]",0
159,159,11/24/1928,,"Edgerton, Ohio",Universal Airlines,,Cleveland - Chicago,Hamilton H-47,,46,3.0,3.0,0.0,The mail plane crashed in a heavy snow storm.,41.4487184,-84.7480385,"[-1.8687377  -0.62067879  2.15796778 -2.24550322 -1.04184498 -2.5381515
  3.87296504  2.51178196 -0.22217676  0.34896939  3.42694175  2.03560764
  1.33155911  1.27898121 -1.8214649 ]",0
160,160,11/25/1928,,"Bristolville, Ohio",National Air Transport,,,Douglas M-4,,,1.0,1.0,0.0,The mail plane crashed in a snow storm.,41.3874649,-80.8692679,"[-1.24091828 -0.3534408   1.28498266 -1.61627385 -0.85338788 -2.14122754
  3.05673981  2.04962161 -0.31008432 -0.11083098  2.6195311   1.65737912
  0.60788869  0.72270995 -1.44622627]",0
161,161,11/25/1928,,"Edgerton, Ohio",Continental Air Lines,,Cleveland - Louisville,Travel Air 4000,,,3.0,3.0,0.0,The mail plane crashed in a heavy snow storm,41.4487184,-84.7480385,"[-1.8687377  -0.62067879  2.15796778 -2.24550322 -1.04184498 -2.5381515
  3.87296504  2.51178196 -0.22217676  0.34896939  3.42694175  2.03560764
  1.33155911  1.27898121 -1.8214649 ]",0
162,162,12/01/1928,10:00,"Spur, Texas",Sunbeam Air Transport Co.,,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,NC7862,4-AT-47,5.0,5.0,0.0,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed.,33.4764767,-100.855685,"[-3.62624559 -0.59081632  2.86465918 -5.54141243 -2.08408296 -7.72676706
  9.07977813  4.99466512 -0.4354752   0.39410631  7.46195784  3.31633493
  2.15235891  1.37160381 -4.83001412]",3
163,163,12/03/1928,08:00,Brazil,Syndicato Condor,,,Dornier Wal,P-BACA,063,14.0,14.0,0.0,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastilimits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately.",-10.3333333,-53.2,"[ -2.75783093   1.09871834   2.58879711  -6.53279763  -3.64540341
 -11.37419984   6.78611524  10.25028422  -2.03065619   2.84026289
  15.19846112   9.04126307   2.05571538  -4.34910263  -9.81167039]",3
164,164,12/04/1928,,"Rio de Janeiro, Brazil",,,,Junkers G24,,,6.0,6.0,0.0,The aircraft's wingtip struck the water and crashed into Rio de Janeiro Bay.,-22.9110137,-43.2093727,"[-1.23050784 -0.11091411  1.33363679 -1.95349023 -1.07270697 -2.6937443
  2.76167428  2.80040413 -0.54278828  0.04689918  3.71191603  2.32815143
  0.88450906  0.00473769 -2.13494572]",0
165,165,12/11/1928,,"Letzlingen, Germany",Deutsche Lufthansa,,,Junkers G-31,D-1473,3005,4.0,3.0,0.0,Weather related.,52.4480374,11.4852603,"[-0.95662963 -0.02411567  2.33608365 -0.80743152  1.16609192 -0.17381828
  0.07426824 -0.6408608   0.29168177  1.06549871  0.87378633 -0.34340382
  0.828251   -0.14161763 -0.89746904]",0
166,166,12/20/1928,,"Huron, Ohio",National Air Transport,,Cleveland - Chicago,Douglas M-4,,,1.0,1.0,0.0,The mail plane crashed into an apple tree during a snow storm.,41.1305303,-82.591828,"[-1.6294198  -0.35541914  1.99818567 -2.05512455 -1.01431386 -2.55310443
  3.67493618  2.57239774 -0.3499568   0.06969237  3.53448236  2.08424395
  0.92467784  0.69992703 -1.89732808]",0
167,167,12/23/1928,,"Chattanooga, Tennessee",Interstate Airlines,,,Fairchild FC-2,,,4.0,4.0,0.0,Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up enough.,35.0457219,-85.3094883,"[-1.31378566 -0.39325074  1.03335591 -1.83859374 -1.625324   -3.5666104
  3.61144885  3.58668593 -0.86221259  0.13728562  5.30108726  2.92090484
  0.82020877  0.05840412 -2.58491695]",0
168,168,12/31/1928,,"Reims, France",CIDNA,,,Blériot Spad 66,F-AEHX,40,3.0,2.0,0.0,Crashed into high ground in fog.,49.2577886,4.031926,"[-1.73759964 -0.37922732  2.40984482 -1.77605176 -0.4132393  -2.28661507
  2.75222775  2.28368297 -0.16553785  0.85381743  3.63575542  1.62902679
  1.545488    0.49400732 -1.9203839 ]",0
170,170,01/18/1929,,"Cove, Oregon",Varney Air Lines,,,Stearman C-38,,,1.0,1.0,0.0,While attempting to make an emergency landing on the Minam river the plane hit a bolder,45.2965257,-117.807987,"[-1.37068755 -1.3687075   2.77565802 -2.37337699 -1.90407867 -3.85013276
  5.28256777  5.15188444 -0.29946149  0.08723903  6.39289737  5.17296296
  1.00562687 -0.34480779 -3.90286642]",0
174,174,03/17/1929,,"Newark, New Jersey",Colonial Western Airlines,,Sightseeing,Ford 5-AT-B Tri Motor,NC7683,4-AT-41,15.0,14.0,0.0,The plane was making the last of a number of sightseeing flights when one of it's three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure.,40.735657,-74.1723667,"[-3.35958891  0.29245492  4.44231715 -6.58395791 -3.18862447 -9.8848775
  6.99526434  9.17008381 -1.93512681  1.76580981 15.95012599  9.0399564
  1.56197071 -4.17837224 -9.71815005]",3
175,175,03/30/1929,09:18,"Near Beaumont, California",New Standard Airlines,,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,NC7888,617,4.0,4.0,0.0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.",33.99445993416094,-116.6315458051069,"[-4.82821915 -1.17410554  7.88721104 -5.94264942 -1.02409254 -7.39388496
  8.23297603  6.17871597 -0.8723131   3.62679463 12.1905719   5.64001189
  4.25786695 -0.06157796 -7.02095792]",3
